QtySold,SSFlagged,PromoFlagged,YrWeek,Date,FamilyHoliday,Season,Description,Department,Category,Lifestyle1,Lifestyle2,UPC_14
2091,1,1,201713,4/1/2017,0,Spring,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
1123,1,1,201803,1/20/2018,0,Winter,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
466,0,1,201751,12/23/2017,0,Winter,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
443,0,1,201652,12/24/2016,0,Winter,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
382,0,1,201648,11/26/2016,0,Winter,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
374,0,1,201620,5/14/2016,0,Spring,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
362,0,1,201718,5/6/2017,0,Spring,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
346,0,1,201747,11/25/2017,0,Winter,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
331,0,0,201719,5/13/2017,0,Spring,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
318,0,1,201715,4/15/2017,0,Spring,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
312,0,1,201629,7/16/2016,0,Summer,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
297,0,1,201619,5/7/2016,0,Spring,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
274,0,1,201721,5/27/2017,0,Spring,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
271,0,1,201722,6/3/2017,1,Summer,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
270,0,1,201612,3/19/2016,0,Spring,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
267,0,1,201611,3/12/2016,0,Spring,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
253,0,1,201720,5/20/2017,0,Spring,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
247,0,1,201621,5/21/2016,0,Spring,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
245,0,1,201653,12/31/2016,1,Winter,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
244,0,1,201613,3/26/2016,0,Spring,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
243,0,1,201746,11/18/2017,0,Autumn,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
237,0,1,201723,6/10/2017,0,Summer,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
223,0,1,201630,7/23/2016,0,Summer,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
220,0,1,201750,12/16/2017,0,Winter,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
218,0,1,201635,8/27/2016,0,Summer,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
217,0,1,201604,1/23/2016,0,Winter,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
213,0,1,201734,8/26/2017,0,Summer,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
211,0,1,201651,12/17/2016,0,Winter,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
208,0,1,201615,4/9/2016,0,Spring,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
207,0,1,201623,6/4/2016,1,Summer,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
206,0,1,201647,11/19/2016,0,Autumn,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
205,0,1,201603,1/16/2016,0,Winter,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
201,0,1,201714,4/8/2017,0,Spring,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
200,0,1,201626,6/25/2016,0,Summer,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
200,0,1,201632,8/6/2016,0,Summer,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
200,0,1,201634,8/20/2016,0,Summer,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
195,0,1,201627,7/2/2016,0,Summer,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
195,0,1,201631,7/30/2016,0,Summer,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
194,0,1,201716,4/22/2017,0,Spring,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
193,0,1,201622,5/28/2016,0,Spring,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
193,0,1,201752,12/30/2017,1,Winter,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
192,0,1,201729,7/22/2017,0,Summer,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
191,0,0,201602,1/9/2016,0,Winter,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
191,0,0,201625,6/18/2016,0,Summer,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
191,0,0,201633,8/13/2016,0,Summer,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
191,0,1,201726,7/1/2017,0,Summer,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
191,0,1,201731,8/5/2017,0,Summer,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
190,0,1,201733,8/19/2017,0,Summer,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
189,0,0,201628,7/9/2016,1,Summer,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
188,0,1,201606,2/6/2016,0,Winter,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
187,0,0,201735,9/2/2017,0,Autumn,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
187,0,1,201605,1/30/2016,0,Winter,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
187,0,1,201636,9/3/2016,0,Autumn,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
183,0,1,201732,8/12/2017,0,Summer,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
183,0,1,201736,9/9/2017,0,Autumn,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
182,0,0,201717,4/29/2017,0,Spring,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
180,0,1,201610,3/5/2016,0,Spring,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
179,0,1,201639,9/24/2016,0,Autumn,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
179,0,1,201724,6/17/2017,0,Summer,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
175,0,1,201710,3/11/2017,0,Spring,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
175,0,1,201749,12/9/2017,0,Winter,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
174,0,1,201618,4/30/2016,0,Spring,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
173,0,1,201640,10/1/2016,0,Autumn,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
173,0,1,201730,7/29/2017,0,Summer,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
171,0,1,201645,11/5/2016,0,Autumn,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
170,0,1,201745,11/11/2017,0,Autumn,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
169,0,1,201638,9/17/2016,0,Autumn,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
168,0,1,201727,7/8/2017,1,Summer,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
166,0,1,201725,6/24/2017,0,Summer,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
166,0,1,201804,1/27/2018,0,Winter,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
165,0,1,201739,9/30/2017,0,Autumn,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
165,0,0,201801,1/6/2018,1,Winter,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
164,0,1,201617,4/23/2016,0,Spring,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
163,0,1,201624,6/11/2016,0,Summer,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
163,0,1,201748,12/2/2017,1,Winter,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
161,0,1,201744,11/4/2017,0,Autumn,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
160,0,0,201711,3/18/2017,0,Spring,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
159,0,0,201703,1/21/2017,0,Winter,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
158,0,0,201608,2/20/2016,0,Winter,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
158,0,1,201607,2/13/2016,0,Winter,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
158,0,1,201737,9/16/2017,0,Autumn,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
158,0,1,201743,10/28/2017,0,Autumn,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
157,0,0,201637,9/10/2016,0,Autumn,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
157,0,0,201705,2/4/2017,0,Winter,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
157,0,0,201728,7/15/2017,0,Summer,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
157,0,1,201738,9/23/2017,0,Autumn,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
156,0,1,201701,1/7/2017,1,Winter,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
154,0,1,201802,1/13/2018,0,Winter,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
153,0,0,201742,10/21/2017,0,Autumn,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
153,0,1,201707,2/18/2017,0,Winter,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
152,0,1,201614,4/2/2016,0,Spring,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
151,0,1,201609,2/27/2016,0,Winter,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
150,0,0,201643,10/22/2016,0,Autumn,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
150,0,0,201650,12/10/2016,0,Winter,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
150,0,1,201741,10/14/2017,0,Autumn,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
149,0,1,201708,2/25/2017,0,Winter,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
146,0,0,201646,11/12/2016,0,Autumn,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
144,0,1,201641,10/8/2016,0,Autumn,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
142,0,1,201644,10/29/2016,0,Autumn,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
141,0,0,201642,10/15/2016,0,Autumn,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
140,0,1,201616,4/16/2016,0,Spring,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
139,0,1,201740,10/7/2017,0,Autumn,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
138,0,1,201709,3/4/2017,0,Spring,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
137,0,0,201702,1/14/2017,0,Winter,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
131,0,0,201649,12/3/2016,1,Winter,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
123,0,1,201706,2/11/2017,0,Winter,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
118,0,1,201712,3/25/2017,0,Spring,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
116,0,0,201704,1/28/2017,0,Winter,LAURA CHENEL PLAIN CHEVRE LOG,Specialty Cheese,GOAT CHEESE,USDLO,USDVE,2795821201
