Amazon,Apple,Ebay,Facebook,Google,Twitter
252.585,106.25,23.45759964,77.19000244,519.5,36.38000107
245.488,106.2600021,23.15670013,76.15000153,506.6000061,37.27999878
253.816,107.75,23.11669922,76.15000153,505.2000122,39.09000015
256.03,111.8899994,23.74169922,78.17500305,506.8999939,40.16999817
253.299,112.0100021,23.41340065,77.73999786,500.7000122,39.36999893
246.09,109.25,23.23250008,76.72000122,497.1000061,39.65000153
251.854,110.2200012,23.20299911,76.44999695,501.7999878,39.84999847
244.645,109.8000031,22.73999977,76.27999878,505.8999939,36.93000031
250.526,106.8199997,22.31279945,74.05000305,504,37.31000137
249.082,105.9899979,22.58429909,75.18000031,510.5,37.56999969
249.993,108.7200012,22.59269905,76.23999786,509.8999939,37.83000183
248.375,109.5500031,22.46649933,76.73999786,520.4000244,39.06999969
256.068,112.4000015,24.05109978,77.65000153,537.2999878,39.41999817
270.313,112.9800034,23.88899994,77.83000183,542,40.09999847
279.731,113.0999985,23.59440041,77.49500275,536.7000122,38.91999817
272.421,109.1399994,23.01779938,75.77999878,521.2000122,37.15000153
270.502,115.3099976,22.66010094,76.23999786,512.4000244,36.68000031
270.017,118.9000015,22.7105999,78,513.2000122,37.52999878
270.789,117.1600037,22.30649948,75.91000366,537.5999756,37.45999908
317.222,118.6299973,22.60540009,74.98999786,532.2000122,39.79000092
320,118.6500015,22.83259964,75.40000153,533.2999878,40.72000122
317.684,119.5599976,22.60540009,75.62999725,526.0999756,41.25999832
320.745,119.9400024,22.84950066,75.61499786,529.7999878,48.00999832
327.189,118.9300003,22.93779945,74.47000122,533.9000244,47.31999969
330.021,119.7200012,22.86630058,74.44000244,529.2999878,46.25999832
326.264,122.0199966,23.26189995,75.19000244,540.2000122,47.5
328.947,124.8799973,23.2071991,76.51000214,538,47.95000076
332.371,126.4599991,23.03680038,76.23000336,546,48.5
331.765,127.0800018,23.7670002,75.73999786,551.2000122,48.02999878
335.021,127.8300018,23.74379921,75.59999847,545,47.81999969
333.1,128.7149963,23.94799995,76.70999908,542.7000122,48.70000076
328.684,128.4499969,24.2635994,79.41999817,546.5,49.11000061
328.339,129.4949951,24.41930008,79.89499664,541.7999878,48.47000122
334.117,133,24.44039917,78.83999634,535,48.68999863
334.516,132.1699982,24.57929993,78.44999695,538.7000122,48.54999924
335.9,128.7899933,24.55820084,79.55999756,547.2999878,49.40999985
333.559,130.4149933,24.63820076,80.41000366,559.2999878,48.08000183
340,128.4600067,24.37299919,78.97000122,562.5999756,48.15000153
344.083,129.0899963,24.57089996,79.75,575,47.70999908
341.366,129.3600006,24.51819992,79.59999847,578.7999878,47.56999969
343.961,128.5399933,24.54140091,80.89499664,578.2999878,47.34999847
341.842,126.4100037,24.8654995,81.20999908,581.4000244,46.75
347.416,126.5999985,25.19799995,80.00499725,572.9000244,47.59000015
349.441,127.1399994,25.59149933,79.44000244,574.0999756,45.84000015
352.607,124.5100021,24.92020035,77.55000305,559.9000244,46.27000046
347.741,122.2399979,25.11590004,77.56999969,555.7000122,47.06999969
345.698,124.4499969,25.00440025,78.93000031,561.2000122,46.65999985
350.75,123.5899963,24.86129951,78.05000305,553,46.43000031
352.664,124.9499969,25.07169914,78.06999969,561.5999756,46.93000031
350.961,127.0400009,25.03800011,79.36499786,557.5999756,47.20000076
352.97,128.4700012,24.58979988,80.91000366,566.2000122,47.93000031
351.527,127.4950027,24.35829926,82.75,563.7000122,48.43999863
344.913,125.9000015,24.38150024,83.80000305,565,48.45999908
350.55,127.2099991,24.6718998,84.43000031,565.4000244,51.47000122
351.056,126.6900024,25.04640007,85.30999756,577.5,49.5
344.973,123.3799973,24.43619919,82.91999817,567,49.91999817
342.59,124.2399979,24.20680046,83.01000214,563.5999756,50.00999832
338.868,123.25,24.25519943,83.30000305,557.5999756,49.88999939
337.786,126.3700027,24.37940025,83.19499969,561.0999756,50.08000183
341.695,124.4300003,24.27619934,82.21499634,554.7000122,50.47000122
344.9,124.25,24.0447998,81.66500092,549.5,50.41999817
350,125.3199997,23.95219994,81.55500031,541.2999878,50.84000015
344.497,127.3499985,23.91430092,82.44000244,544,52.86999893
341,126.0100021,24.02370071,82.31999969,544.9000244,52.29999924
348.185,125.5999985,24.03630066,82.27500153,548.7999878,52.16999817
351.138,126.5599976,23.99419975,82.16999817,548,51.93999863
355.745,127.0999985,24.13310051,82.04000092,548.5,51.61999893
362.937,126.8499985,23.96479988,83.01000214,548.5999756,51.20000076
360.347,126.3000031,23.96899986,83.51499939,539.7999878,51.29999924
361.513,126.7799988,23.99640083,82.70500183,541,52.02999878
359.8,126.1699982,24.0048008,82.30999756,543.5,50.65999985
357.981,124.75,23.48080063,80.77500153,532.7000122,51.40000153
349.921,127.5999985,23.59860039,83.08999634,544.5,51.31999969
359.95,126.9100037,23.74379921,83.62000275,542.9000244,51.72999954
363.32,128.6199951,23.88479996,84.62999725,549.2000122,51.40999985
362.197,129.6699982,24.78549957,82.41000366,557.5,50.81999969
359.359,130.2799988,24.91600037,81.52999878,573.7000122,51.65999985
414.522,132.6499939,24.86969948,81.91000366,566.0999756,42.27000046
403.706,130.5599976,25.03380013,80.68000031,564.4000244,38.49000168
393.872,128.6399994,24.78129959,80.46499634,561.4000244,38.95999908
382.7,125.1500015,24.52029991,78.76999664,548.7999878,37.84000015
382.671,128.9499969,24.95599937,78.98999786,551.2000122,37.88000107
380,128.6999969,24.87809944,78.80999756,552.7999878,37.41999817
380.055,125.8000031,24.38360023,77.55999756,543,37.25999832
368.542,125.0100021,24.19630051,78.09999847,535.0999756,37.70999908
378.76,125.2600021,24.39410019,78.42500305,542,37.59000015
386.295,127.6200027,24.75600052,78.51000214,549,37.31000137
389.825,126.3199997,24.55400085,78.01000214,545.7999878,37.47999954
383.363,125.8649979,24.53720093,77.45999908,538.7000122,37.72000122
378.113,126.0100021,24.75180054,78.44000244,539.5,37.33000183
380.257,128.9499969,25.2947998,81.37000275,549.2000122,37.09999847
377,128.7700043,25.00440025,80.41999817,546.5,37.27999878
373.127,130.1900024,25.02540016,80.87999725,546.7000122,37.5
379.447,130.0700073,24.93700027,80.62999725,549.2999878,36.77999878
380.78,130.0599976,24.89489937,80.55000305,552.5,36.68000031
389.718,131.3899994,25.14319992,80.48000336,556.7999878,36.59999847
390.159,132.5399933,25.13479996,80.54000092,554.5,36.50999832
389.538,129.6199951,24.71610069,79.33499908,547.2000122,36.40999985
394.635,132.0449982,24.99169922,80.55000305,554.2999878,36.83000183
392.491,131.7799988,25.48839951,80.14499664,554.2000122,36.66999817
391.972,130.2799988,25.82509995,79.19000244,545.2999878,36.63000107
393.95,130.5350037,26.33009911,80.29000092,549.2000122,36.40000153
387.166,129.9600067,26.09440041,80.44499969,554,37
387.9,130.1199951,26.09860039,82.44000244,555.2999878,36.70999908
384.17,129.3600006,26.30069923,82.05000305,551.7000122,37
385.483,128.6499939,26.6121006,82.13999939,549.5,36.45999908
374.668,127.8000031,25.61039925,80.66999817,543.5,35.88000107
376.828,127.4199982,25.42519951,80.66999817,542.2000122,35.84999847
381.901,128.8800049,25.45050049,82.16000366,552.5999756,35.84000015
388.621,128.5899963,25.44210052,81.83000183,550,35.90000153
380.655,127.1699982,25.26110077,81.52999878,547.5,34.66999817
380.22,126.9199982,25.25270081,80.70999908,543,34.81999969
378.306,127.5999985,25.4715004,81.05999756,544.9000244,34.68999863
380.867,127.3000031,25.48419952,81.79000092,546.5999756,34.65999985
382.636,127.8799973,25.54310036,82.90499878,556.2000122,35.86000061
385.859,126.5999985,25.74510002,82.51000214,557.5,35.54999924
387,127.6100006,25.98920059,84.73999786,559.7000122,35.36999893
398.95,127.0299988,26.06500053,87.87999725,563.4000244,35.16999817
395.096,128.1100006,25.93029976,88.86000061,558.5999756,35.16999817
393.68,127.5,25.92399979,87.98000336,558,35.25999832
394.704,126.75,25.68829918,88.01000214,553.0999756,34.20999908
387.009,124.5299988,24.98749924,85.80000305,541.2999878,36.22000122
387.445,125.4250031,25.35370064,85.76499939,540,35.40000153
395.362,126.5999985,25.43149948,86.91000366,543.2999878,35.72000122
391.376,126.4400024,26.03129959,87.28500366,547.2999878,35.43000031
394.05,126,25.99130058,87.55000305,545.5999756,35.52000046
396.732,125.6900024,26.08600044,87.22000122,550,34.75999832
392.717,122.5699997,25.66930008,85.65000153,541.7000122,34.36000061
389.775,120.0699997,25.99760056,85.87999725,544.7000122,35.77999878
395.605,123.2799988,26.25020027,87.94999695,556.0999756,36.72000122
398.463,125.6600037,26.71310043,90.09999847,571.7000122,35.65999985
415,125.6100006,26.7635994,89.68000031,584.2000122,36.09999847
423.723,126.8199997,26.70050049,89.76000214,584,35.66999817
422.822,128.5099945,27.60540009,90.84999847,601.7999878,35.81000137
430.73,129.6199951,27.89999962,94.97000122,699.5999756,36.63000107
445.336,132.0700073,28.56999969,97.91000366,692.7999878,36.09000015
451.067,130.75,28.60000038,98.38999939,695.4000244,36.18999863
443.913,125.2200012,28.45000076,97.04000092,695.0999756,35.41999817
446.804,125.1600037,28.43000031,95.44000244,674.7000122,34.70000076
438.534,124.5,28.22999954,96.94999695,654.7999878,36.54000092
490.628,122.7699966,28,94.16999817,658.2999878,31.23999977
480.159,123.3799973,28.32999992,95.29000092,659.7000122,31.46999931
473.217,122.9899979,28.75,96.98999786,661.4000244,31.01000023
477.776,122.3700027,28.37000084,95.20999908,664.5999756,29.27000046
492.906,121.3000031,28.12000084,94.01000214,657.5,29.34000015
488.128,118.4400024,28.32999992,94.13999939,664.7000122,28.47999954
487.9,114.6399994,28.40999985,94.05999756,661.2999878,27.54000092
487.738,115.4000015,28.55999947,96.44000244,673.2999878,27.04000092
495.448,115.1299973,28.15999985,95.12000275,670.2000122,29.5
485.577,115.5199966,28.54999924,94.30000305,664.4000244,29.62000084
477.385,119.7200012,28.65999985,94.15000153,663.0999756,29.38999939
479.651,113.4899979,28.13999939,93.62000275,690.2999878,28.54000092
473.682,115.2399979,28.01000023,94.19000244,691.5,29.05999947
467.44,115.1500015,27.98999977,93.43000031,686.5,29.05999947
478.208,115.9599991,28.26000023,94.41999817,689.4000244,28.29999924
477.992,117.1600037,28.29000092,93.93000031,694.0999756,27.61000061
485.825,116.5,27.77000046,95.16999817,688.7000122,26
485.411,115.0100021,27.43000031,95.30999756,694,25.87000084
479.6,112.6500015,26.52000046,90.55999756,679.5,25.17000008
461.565,105.7600021,25.77000046,86.05999756,644.0300293,24.37999916
442.98,103.1200027,24.93000031,82.08999634,618.1099854,25.03000069
410.929,103.7399979,25.22999954,83,612.4699707,26.45999908
419,109.6900024,26.17000008,87.19000244,659.7399902,26.82999992
423.5,112.9199982,27.10000038,89.73000336,667.960022,27.79000092
459.877,113.2900009,27.25,91.01000214,659.6900024,27.03000069
458.751,112.7600021,27.11000061,89.43000031,647.8200073,27.81999969
461.627,107.7200012,26.47999954,87.23000336,629.5599976,28.29999924
448.783,112.3399963,26.87000084,89.88999939,644.9099731,28.14999962
447.16,110.3700027,27.04000092,88.15000153,637.0499878,27.18000031
454.676,109.2699966,26.47999954,88.26000214,628.960022,27.18000031
447.731,112.3099976,26.36000061,89.52999878,643.8800049,27.70999908
451.83,110.1500015,26.20000076,90.44000244,643.4099731,27.38999939
461.847,112.5699997,26.14999962,91.98000336,651.0800171,26.89999962
470.229,114.2099991,26.31999969,92.05000305,655.2999878,27.17000008
463.924,115.3099976,25.75,92.30999756,652.4699707,27.75
464.525,116.2799988,25.97999954,92.90000153,665.0700073,27.40999985
459.75,116.4100037,26.73999977,93.44999695,665.5200195,27.95999908
466.419,113.9199982,26.27000046,94.33999634,671.6699829,27.37999916
462.617,113.4499969,26.02000046,94.40000153,660.9199829,26.82999992
473.056,115.2099991,25.92000008,95.55000305,666.9799805,26.79000092
476.717,113.4000015,25.61000061,92.95999908,653.2000122,26.60000038
487.483,114.3199997,25.59000015,93.97000122,653.289978,25.29000092
482.363,115,25.61000061,94.41000366,654.9099731,25.26000023
481.105,114.7099991,25.32999992,92.76999664,640.1500244,25.59000015
464.964,112.4400024,24.13999939,89.20999908,624.25,26.94000053
479,109.0599976,24.07999992,86.66999817,622.6099854,24.68000031
444,110.3000031,24.44000053,89.90000153,638.3699951,26.30999947
444.209,109.5800018,24.90999985,90.94999695,642,28.14999962
456.834,110.3799973,25.53000069,92.06999969,656.9899902,27.62000084
461.258,110.7799988,25.73500061,94.01000214,671.6799927,29.82999992
467.38,111.3099976,25.68000031,92.80000305,671.6400146,30.31999969
485.774,110.7799988,25.68000031,92.40000153,670,30.85000038
477.775,109.5,24.14999962,92.47000122,667,28.75
473.83,112.1200027,24.29999924,93.23999786,671.2399902,29.05999947
461.746,111.5999985,24.55999947,94.26000214,676.4299927,29.37999916
473.439,111.7900009,24.62000084,94.12000275,683.1699829,29.70999908
483.315,110.2099991,23.99500084,94.06999969,680.4099731,31.14999962
481.264,111.8600006,24.51000023,95.95999908,693.0200195,30.90999985
476.3,111.0400009,24.54999924,97.54000092,695.3200073,30.90999985
488.745,111.7300034,24.55500031,98.47000122,699.9500122,29.29999924
500,113.7699966,24.42000008,97,680,29.14999962
507.002,113.7600021,24.20999908,97.11000061,671.7999878,30.28000069
489.907,115.5,27.57999992,99.66999817,681.1400146,30.88999939
487.685,119.0800018,28.15999985,102.1900024,719.3300171,31.34000015
509.455,115.2799988,28.17000008,103.7699966,731.1199951,30.87000084
547.404,114.5500031,28.37000084,103.6999969,732.8200073,28.45999908
551.863,119.2699966,28.25,104.1999969,736.9199829,29.20000076
555.493,120.5299988,28.17499924,104.8799973,744.8499756,29.12999916
558.863,119.5,27.89999962,101.9700012,737.3900146,29.36000061
571.473,121.1800003,28.5,103.3099976,747.7399902,28.65999985
570.98,122.5699997,28.89999962,102.5800018,748.8200073,28.28000069
566.631,122,29.29999924,103.9400024,755.3099976,27.09000015
571.244,120.9199982,29.29999924,108.7600021,760.6699829,27.04999924
594.006,121.0599976,29.39999962,107.0950012,761.5999756,26.5
601.901,120.5699997,29.18000031,106.4899979,754.7700195,26.12999916
613.48,116.7699966,29.13999939,107.9100037,758.2600098,25.18000031
606.261,116.1100006,28.95000076,109.0100021,765.25,25.40999985
613.441,115.7200012,28.55999947,108.0199966,756.5300293,25.22999954
626.848,112.3399963,28.19000053,103.9499969,740.0700073,25.89999962
622.725,114.1750031,28.47999954,104.0400009,750.4199829,26.31999969
609.135,113.6900024,28.45000076,105.1299973,745.9799805,26.27000046
598.19,117.2900009,28.75,107.7699966,760.0100098,25.20000076
609.59,118.7799988,28.77000046,106.2600021,759.9400024,25.52000046
616.533,119.3000031,29.05999947,107.3199997,777,26.05999947
624.842,117.75,28.84000015,106.9499969,776.7000122,25.75
623.728,118.8799973,29,105.7399979,769.6300049,25.39999962
639.185,118.0299988,29,105.4100037,769.2600098,25.39999962
629.731,117.8099976,29.10000038,105.4499969,771.9699707,25.89999962
635.39,118.3000031,29.59000015,104.2399979,762.8499756,25.02000046
641.5,117.3399963,29.04999924,107.1200027,783.789978,24.45999908
638.188,116.2799988,28.96999931,106.0699997,777.8499756,24.98999977
634.698,115.1999969,28.59000015,104.3799973,768.2000122,24.30999947
638.859,119.0299988,29.35000038,106.1800003,779.210022,25.90999985
641.934,118.2799988,29.04999924,105.6100006,772.9899902,24.84000015
611.271,118.2300034,28.78499985,106.4899979,775.1400146,24.92000008
617.328,115.6200027,28.34000015,104.5999985,762.5499878,23.95000076
613.746,116.1699982,28.56999969,105.4199982,760.039978,24.29999924
619.138,113.1800003,27.96500015,102.1200027,750.4199829,23.30999947
597.472,112.4800034,28.03499985,104.6600037,762.539978,22.98999977
607.257,110.4899979,28.30999947,104.5500031,760.0900269,22.13999939
586.172,111.3399963,28.56999969,106.7900009,776.5900269,22.55999947
587.078,108.9800034,28.04999924,106.2200012,769.8300171,22.67000008
611.803,106.0299988,27.45999908,104.0400009,756.8499756,22.96999931
606.387,107.3300018,27.59000015,104.7699966,760.7999878,22.53000069
625.307,107.2300034,27.88999939,105.5100021,767.1300049,22.46999931
614.833,108.6100006,27.78000069,104.6299973,768.5100098,22.22999954
609.357,108.0299988,27.65999985,105.0199966,765.8400269,23.13999939
603.393,106.8199997,27.63999939,105.9300003,782.2399902,22.55999947
604.296,108.7399979,27.90999985,107.2600021,793.960022,21.92000008
612.099,107.3199997,27.75,106.2200012,790.2999878,21.38999939
634.55,105.2600021,27.47999954,104.6600037,778.0100098,20.26000023
633.02,105.3499985,26.43000031,102.2200012,759.4400024,19.97999954
589.341,102.7099991,26.12000084,102.7300034,761.5300293,19.64999962
591.74,100.6999969,26.40999985,102.9700012,759.3300171,19.62000084
584.949,96.44999695,25.69000053,97.91999817,741,18.68000031
560.089,96.95999908,25.75,97.33000183,730.9099731,19
561.726,98.52999878,26.10000038,97.51000214,733.0700073,17.94000053
551.545,99.95999908,26.20999908,99.37000275,745.3400269,16.69000053
570.458,97.38999939,25.40999985,95.44000244,719.5700073,17.37999916
543.549,99.51999664,25.86000061,98.37000275,731.3900146,17.82999992
548.027,97.12999725,25.26000023,94.97000122,710.4899902,17.84000015
522.823,96.66000366,25.77000046,95.26000214,719.0800171,17.02000046
522.754,96.79000092,25.81999969,94.34999847,718.5599976,17.01000023
524.942,96.30000305,26.09000015,94.16000366,726.6699829,16.78000069
507.421,101.4199982,26.43000031,97.94000244,745.460022,16.48999977
535.967,99.44000244,26.13500023,97.01000214,733.6199951,16.79999924
553.081,99.98999786,26.64999962,97.33999634,733.789978,17.90999985
559.734,93.41999817,26.42000008,94.44999695,717.5800171,16.07999992
553.738,94.08999634,23.12999916,109.1100006,748.2999878,16.55999947
543.25,97.33999634,23.45999908,112.2099991,761.3499756,16.90999985
570.128,96.43000031,23.94000053,115.0899963,770.7700195,15.72000027
539.12,94.48000336,23.29000092,114.6100006,780.9099731,14.39999962
528.348,96.34999847,23.5,112.6900024,749.3800049,14.97999954
505.536,96.59999847,23.48999977,110.4899979,730.0300293,14.31000042
470,94.01999664,23.20000076,104.0699997,703.7600098,15.88000011
475.642,95.01000214,22.47999954,99.75,704.1599731,16.36000061
452.253,94.98999786,22.01000023,99.54000092,701.0200195,17.45999908
427.15,94.26999664,22.31999969,101,706.8499756,18.43000031
422.116,93.69999695,22.07999992,101.9100037,706.3599854,18.30999947
442.484,93.98999786,22.48999977,102.0100021,706.8900146,18.29999924
439.226,96.63999939,22.95000076,101.6100006,717.6400146,18.29999924
446.602,98.12000275,23.21999931,105.1999969,731.9699707,18
465,96.26000214,23.53000069,103.4700012,717.5100098,17.59000015
464.16,96.04000092,23.80999947,104.5699997,722.1099854,17.94000053
481.029,96.87999725,24.23999977,107.1600037,729.0499878,18.12000084
477.501,94.69000244,23.62000084,105.4599991,717.289978,17.85000038
476.398,96.09999847,23.95999908,106.8799973,720.9000244,18.54000092
508.866,96.76000214,24.18000031,108.0699997,729.1199951,19.30999947
500.502,96.91000366,24.18000031,107.9199982,724.8599854,19.36000061
489.159,96.69000244,23.79999924,106.9199982,717.2199707,19.17000008
496.564,100.5299988,24.25,109.8199997,742.1699829,18.32999992
509.056,100.75,23.71999931,109.9499969,739.4799805,17.65999985
515.915,101.5,23.94000053,109.5800018,731.5900269,16.61000061
526.679,103.0100021,24.40999985,108.3899994,730.2199707,17.12000084
531.326,101.8700027,24.26000023,105.7300034,712.7999878,16.19000053
528.062,101.0299988,24.06999969,105.9300003,713.5300293,16.70000076
525.096,101.1200027,23.95000076,107.5100021,725.4099731,16.85000038
509.786,101.1699982,23.69000053,107.3199997,732.1699829,16.85000038
514.015,102.2600021,24.02000046,109.4100037,744.8699951,16.88999939
505.465,102.5199966,24.28000069,109.8899994,750.2399902,16.86000061
492.037,104.5800018,23.57999992,110.6699982,750.5700073,16.01000023
507.086,105.9700012,23.68000031,112.1800003,757.3599854,15.90999985
517.327,105.8000031,23.76000023,111.0199966,758.4799805,15.60000038
522.269,105.9199982,23.77000046,111.4499969,755.4099731,15.97000027
514.896,105.9100037,24.34000015,111.8499985,762.1599731,16.36000061
495.285,106.7200012,24.12999916,112.25,760.0499878,16.54999924
487.987,106.1299973,24.17000008,112.5400009,757.5599976,15.97999954
487.986,105.6699982,24.32999992,113.0500031,754.8400269,17.09000015
499.31,105.1900024,24.12000084,113.6900024,753.2800293,17.04999924
509.853,107.6800003,24.10000038,116.1399994,765.8900146,17.26000023
518.975,109.5599976,24.04000092,114.6999969,768.3400269,16.97999954
525.618,108.9899979,23.86000061,114.0999985,762.9000244,16.64999962
530.411,109.9899979,23.87999916,116.0599976,769.6699829,16.51000023
522.662,111.1200027,24.03000069,112.5500031,765.1199951,16.56999969
525.984,109.8099976,24.38999939,112.2200012,758.5700073,17.37000084
521.704,110.9599991,25.43000031,113.7099991,768.0700073,17.53000069
517.55,108.5400009,24.10000038,113.6399994,760.1199951,17.57999992
523.585,108.6600037,24.06999969,110.6299973,759.4699707,17.30999947
522.138,109.0199966,24.05999947,108.9899979,757.539978,16.92000008
518.499,110.4400024,24.42000008,110.6100006,764.3200073,17.39999962
527.458,112.0400009,25.07999992,110.5100021,771.9099731,17.51000023
527.237,112.0999985,25.20999908,110.8399963,775.3900146,17.22999954
542.757,109.8499985,25.21999931,109.6399994,780,17.09000015
550.303,107.4800034,25.30999947,110.4499969,787.6799927,17.75
550.67,106.9100037,24.29999924,112.2900009,776.25,14.85999966
557.88,107.1299973,24.65999985,112.4199982,774.9199829,14.64000034
551.062,105.9700012,24.69000053,113.4400024,780,14.61999989
560.921,105.6800003,24.39999962,110.5599976,737.7700195,14.39999962
560.262,105.0800018,24.21999931,110.0999985,742.210022,14.01000023
550.562,104.3499985,24.48999977,108.7600021,725.3699951,14.84000015
555.081,97.81999969,25.27000046,108.8899994,721.460022,14.11999989
546.496,94.83000183,24.62000084,116.7300034,705.0599976,14.39999962
533.603,93.73999786,24.43000031,117.5800018,707.8800049,14.19999981
541.613,93.63999939,24.26000023,118.5699997,714.4099731,14.63000011
576.939,95.18000031,23.97999954,117.4300003,708.4400024,14.59000015
588.115,94.19000244,23.79999924,118.0599976,711.3699951,14.07999992
588.69,93.23999786,23.80999947,117.8099976,714.710022,14.10000038
584.631,92.72000122,23.81999969,119.4899979,725.1799927,14.28999996
579.98,92.79000092,24.02000046,119.2399979,729.1300049,14.34000015
580.293,93.41999817,24.15999985,120.5,739.3800049,14.14000034
599.098,92.51000214,23.73999977,119.5199966,730.5499878,14.14999962
615.861,90.33999634,23.57999992,120.2799988,728.0700073,14.43000031
624.612,90.51999664,23.78000069,119.8099976,724.8300171,14.40999985
629.001,93.87999725,23.79999924,118.6699982,730.2999878,14.02999973
628.502,93.48999786,23.27000046,117.3499985,720.1900024,14.40999985
622.677,94.55999756,23.69000053,117.6500015,721.7800293,14.30000019
619.877,94.19999695,23.42000008,116.8099976,715.3099976,15.10000038
618.066,95.22000122,23.64999962,117.3499985,721.710022,15.22000027
629.147,96.43000031,23.45999908,115.9700012,717.25,15.02000046
623.426,97.90000153,24.04999924,117.6999969,733.0300293,15.19999981
633.663,99.62000275,24.03499985,117.8899994,738.0999756,15.19999981
636.257,100.4100037,24.12000084,119.4700012,736.9299927,15.27000046
637.726,100.3499985,24.36000061,119.3799973,747.5999756,15
642.09,99.86000061,24.45999908,118.8099976,748.8499756,14.94999981
642.2,98.45999908,24.06999969,118.7799988,748.460022,14.60000038
647.392,97.72000122,24.25,118.9300003,744.2700195,14.02000046
647.679,97.91999817,23.97999954,118.4700012,735.8599854,14.55000019
646.729,98.62999725,23.98999977,118.7900009,730.0599976,15.35999966
638.828,99.02999878,24.28000069,117.7600021,731.0900269,15.96000004
639.046,98.94000244,24.22999954,118.3899994,742.9299927,15.86999989
636.681,99.65000153,24.32999992,118.5599976,742.5200195,16.10000038
637.542,98.83000183,24.06999969,116.6200027,733.1900024,16.34000015
641,97.33999634,23.88999939,113.9499969,731.8800049,16.31999969
636.177,97.45999908,23.87999916,114.9400024,733.25,16.12999916
635.252,97.13999939,23.95999908,114.5999985,732.1900024,17.04000092
639.195,97.55000305,23.85000038,114.3899994,724.25,16.44000053
638.175,95.33000183,23.79000092,113.0199966,704.25,15.84000015
634.252,95.09999847,24.56999969,113.3700027,706.1300049,16.42000008
625.155,95.91000366,24.70000076,114.3799973,708.8800049,16.82999992
635.248,95.55000305,24.34000015,113.9100037,710.4699707,16.90999985
633.993,96.09999847,24.85000038,115.0800018,714.8699951,17.28000069
629.666,93.40000153,23.12999916,112.0800018,685.2000122,17.13999939
633.703,92.04000092,22.71999931,108.9700012,681.1400146,17.20000076
630.821,93.58999634,22.98999977,112.6999969,691.2600098,17.37000084
629.341,94.40000153,23.30999947,114.1600037,695.1900024,18.07999992
638.445,95.59999847,23.40999985,114.2799988,703.5300293,17.70999908
647.204,95.88999939,23.78000069,114.1900024,710.25,18.10000038
649.042,94.98999786,23.76000023,114,704.8900146,17.73999977
651.178,95.52999878,23.82999992,116.6999969,708.9699707,17.95999908
655.4,95.94000244,23.93000031,115.8499985,707.2600098,18.07999992
650.243,96.68000031,24.61000061,117.2399979,717.7800293,18.64999962
664.216,96.98000336,24.86000061,117.8700027,727.2000122,18.32999992
661.695,97.41999817,25.12999916,117.9300003,732.5100098,18.55999947
673.924,96.87000275,25.12000084,116.7799988,729.4799805,18.38999939
683.051,98.79000092,26.07999992,117.2900009,735.7999878,18.37000084
678.304,98.77999878,26.34000015,116.8600006,735.6300049,18.64999962
671.141,99.83000183,26.48999977,119.3700027,753.2000122,18.45000076
669.85,99.87000275,26.5,120.6100006,753.4099731,15.77000046
665.126,99.95999908,26.98999977,121.9199982,757.0800171,16.30999947
667.141,99.43000031,29.93000031,120.6100006,754.4099731,16.63999939
671.089,98.66000366,30.48999977,121,759.2800293,16.63999939
675.564,97.33999634,30.68000031,121.6299973,757.5200195,16.42000008
675.884,96.66999817,31.39999962,121.2200012,757.6500244,17.61000061
683.201,102.9499969,31.30999947,123.3399963,761.9699707,18.12999916
673.215,104.3399963,31.17000008,125,765.8400269,18.26000023
669.298,104.2099991,31.15999985,123.9400024,791.3400269,18.20000076
670.842,106.0500031,31.25,124.3099976,800.9400024,18.68000031
671.526,104.4800034,30.79000092,123.0899963,800.1199951,19.04000092
